name,count
use-custom-error-not-require,39
use-natspec,22
gas-custom-errors,17
use-nested-if,15
gas-increment-by-one,10
use-prefix-increment-not-postfix,8
timestamp,6
gas-strict-inequalities,3
Miners can manipulate program execution by selecting when to include the timestamp,3
SOLIDITY_GAS_LIMIT_IN_LOOPS,3
unnecessary-checked-arithmetic-in-loop,3
incorrect-equality,2
uninitialized-local,2
SOLIDITY_EXTRA_GAS_IN_LOOPS,2
basic-arithmetic-underflow,2
array-length-outside-loop,2
weak-prng,1
reentrancy-eth,1
solc-version,1
low-level-calls,1
Callstack Depth Attack Vulnerability,1
Integer Overflow,1
Integer Underflow,1
compiler-version,1
function-max-lines,1
SOLIDITY_LOCKED_MONEY,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_SHOULD_RETURN_STRUCT,1
use-multiple-require,1
use-prefix-decrement-not-postfix,1
exact-balance-check,1
