name,count
use-custom-error-not-require,36
non-payable-constructor,18
SOLIDITY_VISIBILITY,12
use-nested-if,10
naming-convention,6
missing-inheritance,4
missing-zero-check,3
immutable-states,3
Integer Underflow,3
use-prefix-increment-not-postfix,3
use-multiple-require,2
locked-ether,1
reentrancy-no-eth,1
events-access,1
reentrancy-events,1
SOLIDITY_EXTRA_GAS_IN_LOOPS,1
SOLIDITY_GAS_LIMIT_IN_LOOPS,1
SOLIDITY_LOCKED_MONEY,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
use-ownable2step,1
array-length-outside-loop,1
unnecessary-checked-arithmetic-in-loop,1
state-variable-read-in-a-loop,1
use-prefix-decrement-not-postfix,1
