name,count
use-custom-error-not-require,44
use-nested-if,11
non-payable-constructor,10
use-multiple-require,6
timestamp,5
basic-arithmetic-underflow,5
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,4
shadowing-local,1
naming-convention,1
SOLIDITY_EXTRA_GAS_IN_LOOPS,1
SOLIDITY_GAS_LIMIT_IN_LOOPS,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_SHOULD_RETURN_STRUCT,1
SOLIDITY_VISIBILITY,1
use-ownable2step,1
array-length-outside-loop,1
unnecessary-checked-arithmetic-in-loop,1
use-prefix-increment-not-postfix,1
inefficient-state-variable-increment,1
