uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4655,4655,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4681,4681,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4691,4696,slither_0_11_3_naming_convention,naming-convention,"Struct RealEstateNotary.request (../sb/Cartorio_F.sol#4691-4696) is not in CapWords
"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4713,4713,semgrep_1_131_0_1_2_1_non_payable_constructor,non-payable-constructor,Consider making costructor payable to save gas.
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4713,4713,smartcheck_SOLIDITY_VISIBILITY,SOLIDITY_VISIBILITY,"SOLIDITY_VISIBILITY
Severity: 1"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4714,4714,semgrep_1_131_0_1_2_1_non_payable_constructor,non-payable-constructor,Consider making costructor payable to save gas.
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4715,4715,semgrep_1_131_0_1_2_1_non_payable_constructor,non-payable-constructor,Consider making costructor payable to save gas.
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4765,4776,slither_0_11_3_reentrancy_events,reentrancy-events,"Reentrancy in RealEstateNotary.safeMint(address,string) (../sb/Cartorio_F.sol#4765-4776):
	External calls:
	- _safeMint(to,tokenId) (../sb/Cartorio_F.sol#4773)
		- retval = IERC721Receiver(to).onERC721Received(operator,from,tokenId,data) (../sb/Cartorio_F.sol#1077-1091)
		- ERC721Utils.checkOnERC721Received(_msgSender(),address(0),to,tokenId,data) (../sb/Cartorio_F.sol#3952)
	Event emitted after the call(s):
	- MetadataUpdate(tokenId) (../sb/Cartorio_F.sol#4647)
		- _setTokenURI(tokenId,uri) (../sb/Cartorio_F.sol#4774)
"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4765,4776,slither_0_11_3_reentrancy_benign,reentrancy-benign,"Reentrancy in RealEstateNotary.safeMint(address,string) (../sb/Cartorio_F.sol#4765-4776):
	External calls:
	- _safeMint(to,tokenId) (../sb/Cartorio_F.sol#4773)
		- retval = IERC721Receiver(to).onERC721Received(operator,from,tokenId,data) (../sb/Cartorio_F.sol#1077-1091)
		- ERC721Utils.checkOnERC721Received(_msgSender(),address(0),to,tokenId,data) (../sb/Cartorio_F.sol#3952)
	State variables written after the call(s):
	- _setTokenURI(tokenId,uri) (../sb/Cartorio_F.sol#4774)
		- $ = ERC721URIStorageStorageLocation (../sb/Cartorio_F.sol#4605)
"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4782,4786,slither_0_11_3_assembly,assembly,"RealEstateNotary._getCartorioStorage() (../sb/Cartorio_F.sol#4782-4786) uses assembly
	- INLINE ASM (../sb/Cartorio_F.sol#4783-4785)
"
/home/ryan/Documents/LLM/Code/Claude/Cartorio_F.sol,4782,4782,smartcheck_SOLIDITY_SHOULD_NOT_BE_PURE,SOLIDITY_SHOULD_NOT_BE_PURE,"SOLIDITY_SHOULD_NOT_BE_PURE
Severity: 1"
