uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,8,8,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.19 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- VerbatimInvalidDeduplication
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess.
It is used by:
	- ^0.8.19 (../sb/Consorcio_F.sol#8)
"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,8,8,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.19 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,8,8,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,16,16,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'FinancialPoolManager'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,16,16,smartcheck_SOLIDITY_LOCKED_MONEY,SOLIDITY_LOCKED_MONEY,"SOLIDITY_LOCKED_MONEY
Severity: 3"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,16,16,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in contract 'FinancialPoolManager'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,73,73,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'currentId'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,76,76,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [goodValue] on Event [PoolCreated] could be Indexed
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [minParticipants] on Event [PoolCreated] could be Indexed
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [installments] on Event [PoolCreated] could be Indexed
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in event 'PoolCreated'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'PoolCreated'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,79,79,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'PoolCreated'. Expected: [poolId, owner, targetGood, goodValue, minParticipants, installments], Found: []"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,87,87,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'PoolActivated'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,87,87,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in event 'PoolActivated'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,87,87,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [activationDate] on Event [PoolActivated] could be Indexed
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,87,87,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'PoolActivated'. Expected: [poolId, activationDate], Found: []"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,88,88,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'PoolCanceled'. Expected: [poolId], Found: []"
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,88,88,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in event 'PoolCanceled'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,88,88,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'PoolCanceled'
/home/ryan/Documents/LLM/Code/DeepSeek/Consorcio_F.sol,89,89,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'ParticipantJoined'. Expected: [poolId, participant], Found: []"
