name,count
use-custom-error-not-require,38
use-nested-if,16
non-payable-constructor,10
use-multiple-require,6
timestamp,5
basic-arithmetic-underflow,5
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,4
shadowing-local,2
boolean-equal,2
use-prefix-increment-not-postfix,2
naming-convention,1
SOLIDITY_EXTRA_GAS_IN_LOOPS,1
SOLIDITY_GAS_LIMIT_IN_LOOPS,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_SHOULD_RETURN_STRUCT,1
SOLIDITY_VISIBILITY,1
use-ownable2step,1
use-short-revert-string,1
array-length-outside-loop,1
unnecessary-checked-arithmetic-in-loop,1
