name,count
use-natspec,245
gas-custom-errors,51
use-custom-error-not-require,51
gas-calldata-parameters,25
gas-indexed-events,16
gas-strict-inequalities,15
state-variable-read-in-a-loop,13
naming-convention,12
non-payable-constructor,12
basic-arithmetic-underflow,11
missing-zero-check,8
gas-increment-by-one,5
use-prefix-increment-not-postfix,5
array-length-outside-loop,5
reentrancy-unlimited-gas,4
immutable-states,3
Integer Overflow,3
Integer Underflow,3
func-visibility,3
SOLIDITY_EXTRA_GAS_IN_LOOPS,3
SOLIDITY_GAS_LIMIT_IN_LOOPS,3
SOLIDITY_SHOULD_RETURN_STRUCT,3
SOLIDITY_VISIBILITY,3
unnecessary-checked-arithmetic-in-loop,3
use-multiple-require,3
tautology,2
unused-return,2
events-maths,2
reentrancy-events,2
missing-inheritance,2
denial_of_service,2
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,2
encode-packed-collision,1
locked-ether,1
timestamp,1
solc-version,1
access_control,1
reentrancy,1
one-contract-per-file,1
compiler-version,1
SOLIDITY_LOCKED_MONEY,1
SOLIDITY_PRAGMAS_VERSION,1
arithmetic,1
front_running,1
