uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4657,4657,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.20 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4657,4657,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4678,4678,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'ReentrancyGuardUpgradeable'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4678,4678,solhint_6_0_0_use_natspec,use-natspec,Missing @title tag in contract 'ReentrancyGuardUpgradeable'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4678,4678,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in contract 'ReentrancyGuardUpgradeable'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4690,4690,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4691,4691,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4699,4699,solhint_6_0_0_const_name_snakecase,const-name-snakecase,Constant name must be in capitalized SNAKE_CASE
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4699,4699,slither_0_11_3_naming_convention,naming-convention,"Constant ReentrancyGuardUpgradeable.ReentrancyGuardStorageLocation (../sb/Cartorio_F.sol#4699) is not in UPPER_CASE_WITH_UNDERSCORES
"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4699,4699,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4701,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in function '_getReentrancyGuardStorage'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4701,solhint_6_0_0_use_natspec,use-natspec,Missing @return tag in function '_getReentrancyGuardStorage'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4701,smartcheck_SOLIDITY_SHOULD_NOT_BE_PURE,SOLIDITY_SHOULD_NOT_BE_PURE,"SOLIDITY_SHOULD_NOT_BE_PURE
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4701,smartcheck_SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,"SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4701,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @return names for function '_getReentrancyGuardStorage'. Expected: [$], Found: []"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4701,4705,slither_0_11_3_assembly,assembly,"ReentrancyGuardUpgradeable._getReentrancyGuardStorage() (../sb/Cartorio_F.sol#4701-4705) uses assembly
	- INLINE ASM (../sb/Cartorio_F.sol#4702-4704)
"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4702,4702,solhint_6_0_0_no_inline_assembly,no-inline-assembly,Avoid to use inline assembly. It is acceptable only in rare cases
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4702,4702,smartcheck_SOLIDITY_USING_INLINE_ASSEMBLY,SOLIDITY_USING_INLINE_ASSEMBLY,"SOLIDITY_USING_INLINE_ASSEMBLY
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4710,4710,smartcheck_SOLIDITY_VISIBILITY,SOLIDITY_VISIBILITY,"SOLIDITY_VISIBILITY
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4710,4710,smartcheck_SOLIDITY_VISIBILITY,SOLIDITY_VISIBILITY,"SOLIDITY_VISIBILITY
Severity: 1"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4712,4712,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in function '__ReentrancyGuard_init'
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4712,4714,slither_0_11_3_naming_convention,naming-convention,"Function ReentrancyGuardUpgradeable.__ReentrancyGuard_init() (../sb/Cartorio_F.sol#4712-4714) is not in mixedCase
"
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4712,4712,solhint_6_0_0_func_name_mixedcase,func-name-mixedcase,Function name must be in mixedCase
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4716,4716,solhint_6_0_0_func_name_mixedcase,func-name-mixedcase,Function name must be in mixedCase
/home/ryan/Documents/LLM/Code/Qwen/Cartorio_F.sol,4716,4719,slither_0_11_3_naming_convention,naming-convention,"Function ReentrancyGuardUpgradeable.__ReentrancyGuard_init_unchained() (../sb/Cartorio_F.sol#4716-4719) is not in mixedCase
"
