name,count
use-custom-error-not-require,42
gas-custom-errors,24
use-short-revert-string,23
use-natspec,12
gas-increment-by-one,10
use-prefix-increment-not-postfix,9
use-nested-if,9
reason-string,8
gas-small-strings,8
gas-strict-inequalities,8
use-multiple-require,6
timestamp,5
SOLIDITY_EXTRA_GAS_IN_LOOPS,4
SOLIDITY_GAS_LIMIT_IN_LOOPS,4
array-length-outside-loop,4
unnecessary-checked-arithmetic-in-loop,4
basic-arithmetic-underflow,4
weak-prng,1
reentrancy-eth,1
incorrect-equality,1
solc-version,1
low-level-calls,1
Callstack Depth Attack Vulnerability,1
Integer Overflow,1
Integer Underflow,1
compiler-version,1
function-max-lines,1
SOLIDITY_ADDRESS_HARDCODED,1
SOLIDITY_LOCKED_MONEY,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_SHOULD_RETURN_STRUCT,1
use-prefix-decrement-not-postfix,1
