name,count
use-natspec,43
use-custom-error-not-require,32
gas-custom-errors,28
non-payable-constructor,17
use-short-revert-string,16
reason-string,12
gas-small-strings,12
use-nested-if,10
missing-zero-check,5
naming-convention,4
func-visibility,4
gas-increment-by-one,4
SOLIDITY_VISIBILITY,4
immutable-states,3
Integer Underflow,3
gas-strict-inequalities,3
gas-calldata-parameters,3
use-prefix-increment-not-postfix,3
use-multiple-require,3
gas-struct-packing,2
locked-ether,1
reentrancy-no-eth,1
reentrancy-events,1
compiler-version,1
SOLIDITY_EXTRA_GAS_IN_LOOPS,1
SOLIDITY_GAS_LIMIT_IN_LOOPS,1
SOLIDITY_LOCKED_MONEY,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,1
use-ownable2step,1
array-length-outside-loop,1
unnecessary-checked-arithmetic-in-loop,1
state-variable-read-in-a-loop,1
use-prefix-decrement-not-postfix,1
