name,count
use-custom-error-not-require,105
use-natspec,83
gas-custom-errors,79
gas-calldata-parameters,25
gas-small-strings,21
reason-string,18
use-short-revert-string,18
low-level-calls,17
gas-strict-inequalities,16
SOLIDITY_UNCHECKED_CALL,14
missing-zero-check,12
non-payable-constructor,12
basic-arithmetic-underflow,11
gas-indexed-events,7
avoid-low-level-calls,7
naming-convention,6
gas-increment-by-one,5
SOLIDITY_VISIBILITY,5
use-prefix-increment-not-postfix,5
use-nested-if,5
reentrancy-events,4
use-multiple-require,4
tautology,3
immutable-states,3
Integer Overflow,3
Integer Underflow,3
func-visibility,3
SOLIDITY_GAS_LIMIT_IN_LOOPS,3
array-length-outside-loop,3
unnecessary-checked-arithmetic-in-loop,3
events-maths,2
timestamp,2
state-visibility,2
SOLIDITY_EXTRA_GAS_IN_LOOPS,2
SOLIDITY_LOCKED_MONEY,2
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,2
SOLIDITY_SHOULD_RETURN_STRUCT,2
state-variable-read-in-a-loop,2
locked-ether,1
write-after-write,1
costly-loop,1
solc-version,1
Callstack Depth Attack Vulnerability,1
one-contract-per-file,1
compiler-version,1
SOLIDITY_PRAGMAS_VERSION,1
SOLIDITY_REVERT_REQUIRE,1
